Province/State,Date last updated,Confirmed
Hubei,1/24/2020,549
Guangdong,1/24/2020,53
Zhejiang,1/24/2020,43
Beijing,1/24/2020,26
Shanghai,1/24/2020,20
Hunan,1/24/2020,24
Anhui,1/24/2020,15
Chongqing,1/24/2020,27
Sichuan,1/24/2020,15
Shandong,1/24/2020,9
Guangxi,1/24/2020,13
Fujian,1/24/2020,5
Jiangsu,1/24/2020,9
Henan,1/24/2020,9
Hainan,1/24/2020,8
Tianjin,1/24/2020,5
Jiangxi,1/24/2020,7
Shaanxi,1/24/2020,3
Guizhou,1/24/2020,3
Liaoning,1/24/2020,4
Hong Kong,1/24/2020,2
Heilongjiang,1/24/2020,4
Macau,1/24/2020,2
Xinjiang,1/24/2020,2
Gansu,1/24/2020,2
Yunnan,1/24/2020,2
Taiwan,1/24/2020,1
Shanxi,1/24/2020,1
Jilin,1/24/2020,3
Hebei,1/24/2020,2
Ningxia,1/24/2020,1
Inner Mongolia,1/24/2020,1
Washington,1/24/2020,1
Japan,1/24/2020,2
Thailand,1/24/2020,4
South Korea,1/24/2020,1
Singapore,1/24/2020,1
Vietnam,1/24/2020,2
Hubei,1/24/2020,549
Guangdong,1/24/2020,53
Zhejiang,1/24/2020,43
Beijing,1/24/2020,36
Chongqing,1/24/2020,27
Hunan,1/24/2020,24
Guangxi,1/24/2020,23
Shanghai,1/24/2020,20
Jiangxi,1/24/2020,18
Sichuan,1/24/2020,15
Shandong,1/24/2020,15
Anhui,1/24/2020,15
Fujian,1/24/2020,10
Henan,1/24/2020,9
Jiangsu,1/24/2020,9
Hainan,1/24/2020,8
Tianjin,1/24/2020,8
Yunnan,1/24/2020,5
Shaanxi,1/24/2020,5
Heilongjiang,1/24/2020,4
Liaoning,1/24/2020,4
Guizhou,1/24/2020,3
Jilin,1/24/2020,3
Taiwan,1/24/2020,3
Ningxia,1/24/2020,2
Hong Kong,1/24/2020,2
Macau,1/24/2020,2
Hebei,1/24/2020,2
Gansu,1/24/2020,2
Xinjiang,1/24/2020,2
Shanxi,1/24/2020,1
Inner Mongolia,1/24/2020,1
Qinghai,1/24/2020,0
Washington,1/24/2020,1
Chicago,1/24/2020,1
Japan,1/24/2020,2
Thailand,1/24/2020,5
South Korea,1/24/2020,2
Singapore,1/24/2020,3
Vietnam,1/24/2020,2
France,1/24/2020,2
Hubei,1/25/2020 ,729
Guangdong,1/25/2020 ,78
Zhejiang,1/25/2020 ,62
Chongqing,1/25/2020 ,57
Hunan,1/25/2020 ,43
Anhui,1/25/2020 ,39
Beijing,1/25/2020 ,36
Shanghai,1/25/2020 ,33
Henan,1/25/2020 ,32
Sichuan,1/25/2020 ,28
Guangxi,1/25/2020 ,23
Shandong,1/25/2020 ,21
Jiangxi,1/25/2020 ,18
Jiangsu,1/25/2020 ,18
Hainan,1/25/2020 ,17
Liaoning,1/25/2020 ,15
Fujian,1/25/2020 ,10
Heilongjiang,1/25/2020 ,9
Tianjin,1/25/2020 ,8
Hebei,1/25/2020 ,8
Shanxi,1/25/2020 ,6
Yunnan,1/25/2020 ,5
Hong Kong,1/25/2020 ,5
Shaanxi,1/25/2020 ,5
Guizhou,1/25/2020 ,4
Jilin,1/25/2020 ,4
Gansu,1/25/2020 ,4
Ningxia,1/25/2020 ,3
Taiwan,1/25/2020 ,3
Xinjiang,1/25/2020 ,3
Macau,1/25/2020 ,2
Inner Mongolia,1/25/2020 ,2
Qinghai,1/25/2020 ,0
Washington,1/25/2020 ,1
Illinois,1/25/2020 ,1
Japan,1/25/2020 ,2
Thailand,1/25/2020 ,5
South Korea,1/25/2020 ,2
Singapore,1/25/2020 ,3
Vietnam,1/25/2020 ,2
France,1/25/2020 ,3
Australia,1/25/2020 ,1
Nepal,1/25/2020 ,1
Malaysia,1/25/2020 ,3
Hubei,1/25/2020 ,761
Guangdong,1/25/2020 ,78
Zhejiang,1/25/2020 ,62
Chongqing,1/25/2020 ,57
Hunan,1/25/2020 ,43
Beijing,1/25/2020 ,41
Anhui,1/25/2020 ,39
Shanghai,1/25/2020 ,33
Henan,1/25/2020 ,32
Sichuan,1/25/2020 ,28
Shandong,1/25/2020 ,27
Guangxi,1/25/2020 ,23
Hainan,1/25/2020 ,19
Jiangxi,1/25/2020 ,18
Fujian,1/25/2020 ,18
Jiangsu,1/25/2020 ,18
Liaoning,1/25/2020 ,17
Shaanxi,1/25/2020 ,15
Yunnan,1/25/2020 ,11
Tianjin,1/25/2020 ,10
Heilongjiang,1/25/2020 ,9
Hebei,1/25/2020 ,8
Inner Mongolia,1/25/2020 ,7
Shanxi,1/25/2020 ,6
Hong Kong,1/25/2020 ,5
Guizhou,1/25/2020 ,4
Jilin,1/25/2020 ,4
Gansu,1/25/2020 ,4
Ningxia,1/25/2020 ,3
Taiwan,1/25/2020 ,3
Xinjiang,1/25/2020 ,3
Macau,1/25/2020 ,2
Qinghai,1/25/2020 ,1
Washington,1/25/2020 ,1
Illinois,1/25/2020 ,1
Japan,1/25/2020 ,2
Thailand,1/25/2020 ,7
South Korea,1/25/2020 ,2
Singapore,1/25/2020 ,3
Vietnam,1/25/2020 ,2
France,1/25/2020 ,3
Australia,1/25/2020 ,4
Nepal,1/25/2020 ,1
Malaysia,1/25/2020 ,3
Hubei,1/25/2020 ,1052
Zhejiang,1/25/2020 ,104
Guangdong,1/25/2020 ,98
Henan,1/25/2020 ,83
Chongqing,1/25/2020 ,75
Hunan,1/25/2020 ,69
Anhui,1/25/2020 ,60
Beijing,1/25/2020 ,51
Sichuan,1/25/2020 ,44
Shanghai,1/25/2020 ,40
Shandong,1/25/2020 ,39
Jiangxi,1/25/2020 ,36
Guangxi,1/25/2020 ,33
Jiangsu,1/25/2020 ,31
Hainan,1/25/2020 ,19
Liaoning,1/25/2020 ,19
Fujian,1/25/2020 ,18
Heilongjiang,1/25/2020 ,15
Shaanxi,1/25/2020 ,15
Tianjin,1/25/2020 ,13
Hebei,1/25/2020 ,13
Yunnan,1/25/2020 ,11
Shanxi,1/25/2020 ,9
Inner Mongolia,1/25/2020 ,7
Gansu,1/25/2020 ,7
Guizhou,1/25/2020 ,5
Hong Kong,1/25/2020 ,5
Ningxia,1/25/2020 ,4
Jilin,1/25/2020 ,4
Xinjiang,1/25/2020 ,4
Taiwan,1/25/2020 ,3
Macau,1/25/2020 ,2
Qinghai,1/25/2020 ,1
Washington,1/25/2020 ,1
Illinois,1/25/2020 ,1
Japan,1/25/2020 ,2
Thailand,1/25/2020 ,7
South Korea,1/25/2020 ,3
Singapore,1/25/2020 ,3
Vietnam,1/25/2020 ,2
France,1/25/2020 ,3
Australia,1/25/2020 ,4
Nepal,1/25/2020 ,1
Malaysia,1/25/2020 ,3
Hubei,1/26/2020,1058
Guangdong,1/26/2020,111
Zhejiang,1/26/2020,104
Henan,1/26/2020,83
Chongqing,1/26/2020,75
Hunan,1/26/2020,69
Beijing,1/26/2020,68
Anhui,1/26/2020,60
Shandong,1/26/2020,46
Sichuan,1/26/2020,44
Shanghai,1/26/2020,40
Guangxi,1/26/2020,36
Jiangxi,1/26/2020,36
Fujian,1/26/2020,35
Jiangsu,1/26/2020,33
Hainan,1/26/2020,22
Shaanxi,1/26/2020,22
Liaoning,1/26/2020,21
Yunnan,1/26/2020,16
Heilongjiang,1/26/2020,15
Tianjin,1/26/2020,14
Hebei,1/26/2020,13
Shanxi,1/26/2020,9
Hong Kong,1/26/2020,8
Inner Mongolia,1/26/2020,7
Gansu,1/26/2020,7
Guizhou,1/26/2020,5
Macau,1/26/2020,5
Ningxia,1/26/2020,4
Jilin,1/26/2020,4
Taiwan,1/26/2020,4
Xinjiang,1/26/2020,4
Qinghai,1/26/2020,1
Washington,1/26/2020,1
Illinois,1/26/2020,1
California,1/26/2020,1
Japan,1/26/2020,4
Thailand,1/26/2020,8
South Korea,1/26/2020,3
Singapore,1/26/2020,4
Vietnam,1/26/2020,2
France,1/26/2020,3
Australia,1/26/2020,4
Nepal,1/26/2020,1
Malaysia,1/26/2020,4
Ontario,1/26/2020,1
Hubei,1/27/2020,2714
Zhejiang,1/27/2020,173
Henan,1/27/2020,168
Guangdong,1/27/2020,151
Chongqing,1/27/2020,132
Anhui,1/27/2020,106
Hunan,1/27/2020,100
Sichuan,1/27/2020,90
Shandong,1/27/2020,87
Beijing,1/27/2020,80
Jiangxi,1/27/2020,72
Jiangsu,1/27/2020,70
Shanghai,1/27/2020,66
Fujian,1/27/2020,59
Guangxi,1/27/2020,51
Shaanxi,1/27/2020,35
Hainan,1/27/2020,33
Hebei,1/27/2020,33
Heilongjiang,1/27/2020,30
Liaoning,1/27/2020,27
Yunnan,1/27/2020,26
Tianjin,1/27/2020,23
Shanxi,1/27/2020,20
Gansu,1/27/2020,19
Inner Mongolia,1/27/2020,11
Guizhou,1/27/2020,9
Hong Kong,1/27/2020,8
Ningxia,1/27/2020,7
Jilin,1/27/2020,6
Macau,1/27/2020,6
Qinghai,1/27/2020,6
Taiwan,1/27/2020,5
Xinjiang,1/27/2020,5
Washington,1/27/2020,1
Illinois,1/27/2020,1
California,1/27/2020,2
Arizona,1/27/2020,1
Japan,1/27/2020,4
Thailand,1/27/2020,8
South Korea,1/27/2020,4
Singapore,1/27/2020,5
Vietnam,1/27/2020,2
France,1/27/2020,3
Nepal,1/27/2020,1
Malaysia,1/27/2020,4
Ontario,1/27/2020,1
Cambodia,1/27/2020,1
Sri Lanka,1/27/2020,1
Ivory Coast,1/27/2020,1
New South Wales,1/27/2020,4
Victoria,1/27/2020,1
Bavaria,1/27/2020,1
Hubei,1/27/2020,1423
Guangdong,1/27/2020,151
Zhejiang,1/27/2020,128
Henan,1/27/2020,128
Chongqing,1/27/2020,110
Hunan,1/27/2020,100
Beijing,1/27/2020,80
Shandong,1/27/2020,75
Jiangxi,1/27/2020,72
Anhui,1/27/2020,70
Sichuan,1/27/2020,69
Fujian,1/27/2020,59
Shanghai,1/27/2020,53
Jiangsu,1/27/2020,47
Guangxi,1/27/2020,46
Shaanxi,1/27/2020,35
Hainan,1/27/2020,33
Liaoning,1/27/2020,27
Yunnan,1/27/2020,26
Tianjin,1/27/2020,23
Heilongjiang,1/27/2020,21
Hebei,1/27/2020,18
Gansu,1/27/2020,14
Shanxi,1/27/2020,13
Inner Mongolia,1/27/2020,11
Hong Kong,1/27/2020,8
Guizhou,1/27/2020,7
Ningxia,1/27/2020,7
Jilin,1/27/2020,6
Macau,1/27/2020,6
Qinghai,1/27/2020,6
Taiwan,1/27/2020,5
Xinjiang,1/27/2020,5
Washington,1/27/2020,1
Illinois,1/27/2020,1
California,1/27/2020,2
Arizona,1/27/2020,1
Japan,1/27/2020,4
Thailand,1/27/2020,8
South Korea,1/27/2020,4
Singapore,1/27/2020,5
Vietnam,1/27/2020,2
France,1/27/2020,3
Nepal,1/27/2020,1
Malaysia,1/27/2020,4
Ontario,1/27/2020,1
Cambodia,1/27/2020,1
Sri Lanka,1/27/2020,1
Ivory Coast,1/27/2020,1
New South Wales,1/27/2020,4
Victoria,1/27/2020,1
Hubei,1/27/2020,1423
Guangdong,1/27/2020,151
Zhejiang,1/27/2020,128
Henan,1/27/2020,128
Chongqing,1/27/2020,110
Hunan,1/27/2020,100
Shandong,1/27/2020,75
Beijing,1/27/2020,72
Anhui,1/27/2020,70
Sichuan,1/27/2020,69
Fujian,1/27/2020,56
Shanghai,1/27/2020,53
Jiangxi,1/27/2020,48
Jiangsu,1/27/2020,47
Guangxi,1/27/2020,46
Shaanxi,1/27/2020,35
Hainan,1/27/2020,33
Liaoning,1/27/2020,27
Yunnan,1/27/2020,26
Tianjin,1/27/2020,22
Heilongjiang,1/27/2020,21
Hebei,1/27/2020,18
Gansu,1/27/2020,14
Shanxi,1/27/2020,13
Inner Mongolia,1/27/2020,11
Hong Kong,1/27/2020,8
Guizhou,1/27/2020,7
Ningxia,1/27/2020,7
Jilin,1/27/2020,6
Macau,1/27/2020,6
Taiwan,1/27/2020,5
Xinjiang,1/27/2020,5
Qinghai,1/27/2020,4
Washington,1/27/2020,1
Illinois,1/27/2020,1
California,1/27/2020,2
Arizona,1/27/2020,1
Japan,1/27/2020,4
Thailand,1/27/2020,8
South Korea,1/27/2020,4
Singapore,1/27/2020,4
Vietnam,1/27/2020,2
France,1/27/2020,3
Australia,1/27/2020,5
Nepal,1/27/2020,1
Malaysia,1/27/2020,4
Ontario,1/27/2020,1
Cambodia,1/27/2020,1
Hubei,1/28/2020,3554
Guangdong,1/28/2020,207
Zhejiang,1/28/2020,173
Henan,1/28/2020,168
Hunan,1/28/2020,143
Chongqing,1/28/2020,132
Jiangxi,1/28/2020,109
Anhui,1/28/2020,106
Shandong,1/28/2020,95
Beijing,1/28/2020,91
Sichuan,1/28/2020,90
Fujian,1/28/2020,80
Jiangsu,1/28/2020,70
Shanghai,1/28/2020,66
Guangxi,1/28/2020,51
Shaanxi,1/28/2020,46
Yunnan,1/28/2020,44
Hainan,1/28/2020,40
Liaoning,1/28/2020,34
Hebei,1/28/2020,33
Heilongjiang,1/28/2020,33
Shanxi,1/28/2020,27
Tianjin,1/28/2020,24
Gansu,1/28/2020,19
Inner Mongolia,1/28/2020,15
Ningxia,1/28/2020,11
Xinjiang,1/28/2020,10
Guizhou,1/28/2020,9
Jilin,1/28/2020,8
Taiwan,1/28/2020,8
Hong Kong,1/28/2020,8
Macau,1/28/2020,7
Qinghai,1/28/2020,6
Washington,1/28/2020,1
Illinois,1/28/2020,1
California,1/28/2020,2
Arizona,1/28/2020,1
Japan,1/28/2020,7
Thailand,1/28/2020,14
South Korea,1/28/2020,4
Singapore,1/28/2020,7
Vietnam,1/28/2020,2
France,1/28/2020,4
Nepal,1/28/2020,1
Malaysia,1/28/2020,4
Ontario,1/28/2020,1
British Columbia,1/28/2020,1
Cambodia,1/28/2020,1
Sri Lanka,1/28/2020,1
New South Wales,1/28/2020,4
Victoria,1/28/2020,1
Bavaria,1/28/2020,4
Hubei,1/28/2020,2714
Guangdong,1/28/2020,207
Zhejiang,1/28/2020,173
Henan,1/28/2020,168
Hunan,1/28/2020,143
Chongqing,1/28/2020,132
Anhui,1/28/2020,106
Shandong,1/28/2020,95
Beijing,1/28/2020,91
Sichuan,1/28/2020,90
Fujian,1/28/2020,80
Jiangxi,1/28/2020,72
Jiangsu,1/28/2020,70
Shanghai,1/28/2020,66
Guangxi,1/28/2020,51
Shaanxi,1/28/2020,46
Yunnan,1/28/2020,44
Hainan,1/28/2020,40
Liaoning,1/28/2020,34
Heilongjiang,1/28/2020,33
Hebei,1/28/2020,33
Tianjin,1/28/2020,24
Shanxi,1/28/2020,20
Gansu,1/28/2020,19
Inner Mongolia,1/28/2020,15
Ningxia,1/28/2020,11
Xinjiang,1/28/2020,10
Guizhou,1/28/2020,9
Jilin,1/28/2020,8
Taiwan,1/28/2020,8
Hong Kong,1/28/2020,8
Macau,1/28/2020,7
Qinghai,1/28/2020,6
Washington,1/28/2020,1
Illinois,1/28/2020,1
California,1/28/2020,2
Arizona,1/28/2020,1
Japan,1/28/2020,7
Thailand,1/28/2020,14
South Korea,1/28/2020,4
Singapore,1/28/2020,7
Vietnam,1/28/2020,2
France,1/28/2020,3
Nepal,1/28/2020,1
Malaysia,1/28/2020,4
Ontario,1/28/2020,2
Cambodia,1/28/2020,1
Sri Lanka,1/28/2020,1
New South Wales,1/28/2020,4
Victoria,1/28/2020,1
Bavaria,1/28/2020,1